;id;Affiliation;Post;birthyear;takeover;tenure in years;party affiliation;gender;aff2;origin_province;a48;a47;a46;a45;a44;a43;a42;a41;a40;a39;a38;a37;a36;a35;a34;a33;a32;a31;a30;a29;a28;a27;a26;a25;a24;a23;a22;a21;a20;a19;a18;a17;a16;a15;a14;a13;a12;a11;a10;a9;a8;a7;a6;a5;a4;a3;a2;a1;a0
Mohmmed Ghannouchi;1;Ben Ali;Premier ministre;1941;1987;24;RCD;m;Regime;Sousse;;;;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;rh;rh;rh
Abdelaziz Ben Dhia;2;Ben Ali;Ministre d'Etat;1936;1987;24;RCD;m;Regime;Monastir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;uf;uf;uf;cadu;cadu
Ahmed Iyadh Ouederni;3;Ben Ali;Directeur-ministre du cabinet pr_sidentiel;1953;1999;12;RCD;m;Regime;M_dine;;;;;;;;;;;;;;;ut;ut;ut;uf;uf;uf;uf;p;p;p;p;p;p;p;p;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;rn;rn;rn;rn;rn;rn;rn;rn;rn;rh;rh;rh
Rafik Belhaj Kacem;4;Ben Ali;Minstre de l'int_rieur;1949;2004;7;RCD;m;Regime;Beja;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;p;p;p;p;p;p;p;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rh;rh;rh
Abderrahim Zouari;5;Ben Ali;Minstre du Transport;1944;1991;20;RCD;m;Regime;Le Kef;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;ad;rn;rn;rn;rn;rn;rn;rn;rn;rn;rh;rh
Mondher Zenaidi;6;Ben Ali;Ministre de la Sant_ publique;1950;1994;17;RCD;m;Regime;Tunis;;;;;;;;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;uf;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;cad;rn;rn;rn;rn;rh;rh;rh;rh
Kamel Omrane;7;Ben Ali;Ministre des Affaires religieuses;1951;2010;1;RCD;m;Regime;Tunis;;;;;;;;ut;ut;ut;ut;ut;ut;ut;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu
B_chir Tekkari;8;Ben Ali;Ministre de l'Enseingement sup_rieur;1952;2010;1;RCD;m;Regime;Monastir;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;p;p;p;p;cadu;cadu;cadu;cadu;cadu;ad;ad;ad;ad;ad;p;ju;ju;ju;ju;ju;ju;rh;rh
Kamel Morjane;9;Ben Ali;Ministre des Affaires _trangères;1948;2005;6;RCD;m;Regime;Sousse;;;;;;;;;;ut;ut;ut;ut;ut;ut;uf;uf;uf;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;cad;cad;cad;cad;cad;cad;cad
Ridha Grira;10;Ben Ali;Ministre de la D_fense;1955;1999;12;RCD;m;Regime;Sousse;;;;;;;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;uf;uf;uf;uf;ad;ad;ad;ad;ad;ad;ad;ad;ad;cad;rh;rh;rh;rh;rh;rh;rh;rh
